iteration = 0
('E', 1, 2, 'D', 50):HIT=[-10.0]
('E', 1, 2, 'D', 75):LEFT=[-20.0]
('E', 1, 2, 'D', 100):LEFT=[-20.0]
('E', 1, 2, 'R', 0):NONE=[0]
('E', 1, 2, 'R', 25):SHOOT=[-17.5]
('E', 1, 2, 'R', 50):HIT=[-35.0]
('E', 1, 2, 'R', 75):SHOOT=[-40.0]
('E', 1, 2, 'R', 100):SHOOT=[-40.0]
('E', 1, 3, 'D', 0):NONE=[0]
('E', 1, 3, 'D', 25):SHOOT=[25.0]
('E', 1, 3, 'D', 50):HIT=[-10.0]
('E', 1, 3, 'D', 75):LEFT=[-20.0]
('E', 1, 3, 'D', 100):LEFT=[-20.0]
('E', 1, 3, 'R', 0):NONE=[0]
('E', 1, 3, 'R', 25):SHOOT=[-17.5]
('E', 1, 3, 'R', 50):HIT=[-35.0]
('E', 1, 3, 'R', 75):SHOOT=[-40.0]
('E', 1, 3, 'R', 100):SHOOT=[-40.0]
('E', 2, 0, 'D', 0):NONE=[0]
('E', 2, 0, 'D', 25):HIT=[-10.0]
('E', 2, 0, 'D', 50):HIT=[-10.0]
('E', 2, 0, 'D', 75):LEFT=[-20.0]
('E', 2, 0, 'D', 100):LEFT=[-20.0]
('E', 2, 0, 'R', 0):NONE=[0]
('E', 2, 0, 'R', 25):HIT=[-35.0]
('E', 2, 0, 'R', 50):HIT=[-35.0]
('E', 2, 0, 'R', 75):HIT=[-40.0]
('E', 2, 0, 'R', 100):HIT=[-40.0]
('E', 2, 1, 'D', 0):NONE=[0]
('E', 2, 1, 'D', 25):SHOOT=[25.0]
('E', 2, 1, 'D', 50):HIT=[-10.0]
('E', 2, 1, 'D', 75):LEFT=[-20.0]
('E', 2, 1, 'D', 100):LEFT=[-20.0]
('E', 2, 1, 'R', 0):NONE=[0]
('E', 2, 1, 'R', 25):SHOOT=[-17.5]
('E', 2, 1, 'R', 50):HIT=[-35.0]
('E', 2, 1, 'R', 75):SHOOT=[-40.0]
('E', 2, 1, 'R', 100):SHOOT=[-40.0]
('E', 2, 2, 'D', 0):NONE=[0]
('E', 2, 2, 'D', 25):SHOOT=[25.0]
('E', 2, 2, 'D', 50):HIT=[-10.0]
('E', 2, 2, 'D', 75):LEFT=[-20.0]
('E', 2, 2, 'D', 100):LEFT=[-20.0]
('E', 2, 2, 'R', 0):NONE=[0]
('E', 2, 2, 'R', 25):SHOOT=[-17.5]
('E', 2, 2, 'R', 50):HIT=[-35.0]
('E', 2, 2, 'R', 75):SHOOT=[-40.0]
('E', 2, 2, 'R', 100):SHOOT=[-40.0]
('E', 2, 3, 'D', 0):NONE=[0]
('E', 2, 3, 'D', 25):SHOOT=[25.0]
('E', 2, 3, 'D', 50):HIT=[-10.0]
('E', 2, 3, 'D', 75):LEFT=[-20.0]
('E', 2, 3, 'D', 100):LEFT=[-20.0]
('E', 2, 3, 'R', 0):NONE=[0]
('E', 2, 3, 'R', 25):SHOOT=[-17.5]
('E', 2, 3, 'R', 50):HIT=[-35.0]
('E', 2, 3, 'R', 75):SHOOT=[-40.0]
('E', 2, 3, 'R', 100):SHOOT=[-40.0]
('W', 0, 0, 'D', 0):NONE=[0]
('W', 0, 0, 'D', 25):RIGHT=[-20.0]
('W', 0, 0, 'D', 50):RIGHT=[-20.0]
('W', 0, 0, 'D', 75):RIGHT=[-20.0]
('W', 0, 0, 'D', 100):RIGHT=[-20.0]
('W', 0, 0, 'R', 0):NONE=[0]
('W', 0, 0, 'R', 25):RIGHT=[-20.0]
('W', 0, 0, 'R', 50):RIGHT=[-20.0]
('W', 0, 0, 'R', 75):RIGHT=[-20.0]
('W', 0, 0, 'R', 100):RIGHT=[-20.0]
('W', 0, 1, 'D', 0):NONE=[0]
('W', 0, 1, 'D', 25):SHOOT=[-7.5]
('W', 0, 1, 'D', 50):SHOOT=[-20.0]
('W', 0, 1, 'D', 75):SHOOT=[-20.0]
('W', 0, 1, 'D', 100):SHOOT=[-20.0]
('W', 0, 1, 'R', 0):NONE=[0]
('W', 0, 1, 'R', 25):SHOOT=[-7.5]
('W', 0, 1, 'R', 50):SHOOT=[-20.0]
('W', 0, 1, 'R', 75):SHOOT=[-20.0]
('W', 0, 1, 'R', 100):SHOOT=[-20.0]
('W', 0, 2, 'D', 0):NONE=[0]
('W', 0, 2, 'D', 25):SHOOT=[-7.5]
('W', 0, 2, 'D', 50):SHOOT=[-20.0]
('W', 0, 2, 'D', 75):SHOOT=[-20.0]
('W', 0, 2, 'D', 100):SHOOT=[-20.0]
('W', 0, 2, 'R', 0):NONE=[0]
('W', 0, 2, 'R', 25):SHOOT=[-7.5]
('W', 0, 2, 'R', 50):SHOOT=[-20.0]
('W', 0, 2, 'R', 75):SHOOT=[-20.0]
('W', 0, 2, 'R', 100):SHOOT=[-20.0]
('W', 0, 3, 'D', 0):NONE=[0]
('W', 0, 3, 'D', 25):SHOOT=[-7.5]
('W', 0, 3, 'D', 50):SHOOT=[-20.0]
('W', 0, 3, 'D', 75):SHOOT=[-20.0]
('W', 0, 3, 'D', 100):SHOOT=[-20.0]
('W', 0, 3, 'R', 0):NONE=[0]
('W', 0, 3, 'R', 25):SHOOT=[-7.5]
('W', 0, 3, 'R', 50):SHOOT=[-20.0]
('W', 0, 3, 'R', 75):SHOOT=[-20.0]
('W', 0, 3, 'R', 100):SHOOT=[-20.0]
('W', 1, 0, 'D', 0):NONE=[0]
('W', 1, 0, 'D', 25):RIGHT=[-20.0]
('W', 1, 0, 'D', 50):RIGHT=[-20.0]
('W', 1, 0, 'D', 75):RIGHT=[-20.0]
('W', 1, 0, 'D', 100):RIGHT=[-20.0]
('W', 1, 0, 'R', 0):NONE=[0]
('W', 1, 0, 'R', 25):RIGHT=[-20.0]
('W', 1, 0, 'R', 50):RIGHT=[-20.0]
('W', 1, 0, 'R', 75):RIGHT=[-20.0]
('W', 1, 0, 'R', 100):RIGHT=[-20.0]
('W', 1, 1, 'D', 0):NONE=[0]
('W', 1, 1, 'D', 25):SHOOT=[-7.5]
('W', 1, 1, 'D', 50):SHOOT=[-20.0]
('W', 1, 1, 'D', 75):SHOOT=[-20.0]
('W', 1, 1, 'D', 100):SHOOT=[-20.0]
